id,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d
54734,0,Feb-94,0,NA,NA,10,0,28854,52.10%,42,f,0,0,29330.3567,21817.65,25000,4330.36,0,0,0,2011-10-01,7392.08,,Aug-12
55742,0,Oct-00,0,NA,NA,7,0,33623,76.70%,7,f,0,0,8215.53706,684.94,7000,1215.54,0,0,0,2011-06-01,228.48,,Aug-12
57245,0,Jan-85,0,64,NA,5,0,2584,40.40%,31,f,0,0,1457.819531,1457.82,1200,257.82,0,0,0,2013-03-01,42.73,,May-16
57416,0,Dec-96,1,58,NA,14,0,3511,25.60%,40,f,0,0,13207.7633,13073.71,10800,2407.76,0,0,0,2012-11-01,398,,May-16
58915,0,Nov-00,1,NA,NA,3,0,33667,73.20%,11,f,0,0,5843.875367,571.3,5024.99,818.88,0,0,0,2011-04-01,162.63,,Mar-14
59006,1,Jul-98,0,13,0,13,0,4740,39.50%,23,f,0,0,3704.99765,3688.85,3000,705,0,0,0,2012-10-01,111.23,,Sep-12
61390,0,May-93,0,NA,NA,11,0,50807,51%,19,f,0,0,4451.606058,4340.32,4000,451.61,0,0,0,2012-03-01,1454.31,,Mar-12
61419,0,Jun-01,0,38,63,5,1,3839,76.80%,9,f,0,0,6474.6,6387.92,5220.69,1211.07,0,43,1,2012-10-01,194.02,,Mar-13
62102,0,Jun-06,0,NA,NA,7,0,3198,51.10%,11,f,0,0,3413.98528,3413.99,3200,213.99,0,0,0,2011-02-01,2592.23,,Mar-13
65426,0,Aug-95,0,0,0,14,0,24220,68.60%,33,f,0,0,2755.2,2615.8,2170.35,584.85,0,0,0,2011-06-01,131.22,,May-16
65640,0,May-97,1,0,0,20,0,69909,51.10%,51,f,0,0,3153.804764,512.18,2649.99,488.82,15,0,0,2011-05-01,87.83,,Apr-15
66431,0,Sep-01,1,NA,NA,5,0,5630,23%,8,f,0,0,3028.319048,2848.42,2525,503.32,0,0,0,2012-03-01,89.75,,Mar-12
66749,0,Jul-90,2,57,85,5,1,13846,71%,16,f,0,0,12975.35746,6107.41,10625,2350.36,0,0,0,2012-01-01,370.44,,Dec-11
66943,0,Dec-00,0,NA,97,7,1,2183,19.50%,23,f,0,0,3143.861603,3031.58,2800,343.86,0,0,0,2011-10-01,2348.97,,Jul-14
66964,1,Aug-96,2,10,NA,11,0,5122,18.20%,37,f,0,0,9128.550873,1012.95,7500,1628.55,0,0,0,2011-06-01,253.87,,Jun-11
67503,0,Dec-91,0,NA,NA,7,0,6068,16.70%,49,f,0,0,11280.38272,11280.38,10000,1280.38,0,0,0,2012-02-01,3064.45,,Feb-14
68163,1,Feb-98,0,16,NA,14,0,3021,4.80%,25,f,0,0,3341.641503,3341.64,3000,341.64,0,0,0,2013-02-01,97.75,,Feb-13
68381,0,Dec-03,0,NA,NA,3,0,6282,44.60%,9,f,0,0,7541.803814,7371.04,6625,916.8,0,0,0,2011-03-01,424.12,,Mar-15
68817,0,Nov-85,1,45,NA,7,0,5394,53.40%,23,f,0,0,11709.14052,2898.01,10000,1709.14,0,0,0,2010-09-01,23.15,,Sep-10
68926,0,Dec-97,0,46,0,4,0,2211,88.40%,13,f,0,0,2796.601136,643.5,2300,496.6,0,0,0,2011-09-01,77.78,,May-16
69001,0,Nov-91,1,0,0,6,0,7586,52.70%,19,f,0,0,17135.51023,16992.71,15000,2135.51,0,0,0,2012-07-01,1919.13,,Aug-15
69124,0,Aug-00,0,NA,NA,2,0,8311,59.80%,9,f,0,0,21027.94463,13395.7,18000,3027.95,0,0,0,2011-04-01,598.22,,May-16
69168,0,Feb-05,3,NA,NA,2,0,591,84.40%,6,f,0,0,6251.187621,6219.93,5000,1251.19,0,0,0,2011-04-01,184.81,,May-16
69251,0,Dec-94,1,0,0,16,0,29797,23.20%,39,f,0,0,6783.750468,565.31,5999.99,768.76,15,0,0,2011-05-01,189.36,,May-11
69550,0,Oct-05,1,NA,NA,7,0,7248,69.20%,11,f,0,0,15923.97483,15899.19,11200,4723.97,0,0,0,2014-08-01,2816.71,,May-16
69828,0,Jun-75,0,0,0,4,0,5656,27.60%,25,f,0,0,17208.17701,15033.5,15000,2113.3,95,0,0,2011-08-01,38.2,,Aug-11
69924,0,Nov-02,0,0,0,11,0,21162,57.70%,14,f,0,0,12225.41138,10738.03,10000,2225.41,0,0,0,2011-04-01,359.55,,Feb-16
69990,0,Sep-94,1,NA,NA,8,0,16931,34.60%,21,f,0,0,17438.40519,16200.84,15500,1938.41,0,0,0,2013-02-01,472.56,,Feb-13
70348,0,Nov-97,0,68,63,5,1,4822,58.10%,27,f,0,0,11340.97,10947.16,9600,1740.97,0,0,0,2010-05-01,3773.06,,May-16
76597,2,Apr-03,0,5,NA,5,0,14354,36.60%,7,f,0,0,5725.016258,2032.38,5000,725.02,0,0,0,2010-07-01,160.61,,Jul-10
84918,0,Dec-94,1,NA,NA,12,0,1576,5.70%,21,f,0,0,5200.462983,2106.19,5000,200.46,0,0,0,2008-04-01,4268.52,,Jun-07
87023,1,Oct-03,0,11,0,7,0,4175,51.50%,8,f,0,0,9195.263334,980.83,7500,1695.26,0,0,0,2010-06-01,256.59,,Jun-10
